family,genus,species,N
Linaceae,Linum,Linum catharticum,4285
Boraginaceae,Lithospermum,Lithospermum officinale,179
Campanulaceae,Lobelia,Lobelia dortmanna,371
Asteraceae,Logfia,Logfia minima,1463
Poaceae,Lolium,Lolium perenne,86135
Caprifoliaceae,Lonicera,Lonicera periclymenum,24764
Caprifoliaceae,Lonicera,Lonicera xylosteum,4028
Fabaceae,Lotus,Lotus corniculatus,33022
Fabaceae,Lotus,Lotus pedunculatus,51647
Fabaceae,Lotus,Lotus pedunculatus,51647
Fabaceae,Lotus,Lotus tenuis,3898
Brassicaceae,Lunaria,Lunaria rediviva,29
Alismataceae,Luronium,Luronium natans,70
Juncaceae,Luzula,Luzula campestris,50825
